date,month_year,average_price,total_volume,total_bags,small_bags,large_bags,xlarge_bags,type,month,year,geography
1/4/2015,2015-01,0.74,1086363.97,89330.21,54563.33,34760.08,6.8,conventional,1,2015,Dallas/Ft. Worth
1/4/2015,2015-01,1.35,9895.96,3613.34,3613.34,0,0,organic,1,2015,Dallas/Ft. Worth
1/4/2015,2015-01,0.99,668086,115559.9,67894.33,47661.52,4.05,conventional,1,2015,Denver
1/4/2015,2015-01,1.42,22480.07,12356.44,1076.67,11279.77,0,organic,1,2015,Denver
1/4/2015,2015-01,1.01,369694.27,56132.13,46679.86,1060.51,8391.76,conventional,1,2015,Detroit
1/4/2015,2015-01,1.7,7446.43,2059.09,746.43,1312.66,0,organic,1,2015,Detroit
1/4/2015,2015-01,0.95,258979.63,45921.57,43899.46,1097.68,924.43,conventional,1,2015,Grand Rapids
1/4/2015,2015-01,1.6,1012.61,216.17,210,6.17,0,organic,1,2015,Grand Rapids
1/4/2015,2015-01,1.02,3382800.12,537780.56,412779.64,111072.91,13928.01,conventional,1,2015,Great Lakes
1/4/2015,2015-01,1.54,61615.1,15018.11,9763.55,5254.56,0,organic,1,2015,Great Lakes
1/4/2015,2015-01,1.05,203939.14,48952.57,47583.64,1368.93,0,conventional,1,2015,Harrisburg/Scranton
1/4/2015,2015-01,1.68,2896.72,2528.08,2528.08,0,0,organic,1,2015,Harrisburg/Scranton
1/4/2015,2015-01,1.06,332208.14,58061.57,55401.31,2660.26,0,conventional,1,2015,Hartford/Springfield
1/4/2015,2015-01,2.32,4801.1,349.53,349.53,0,0,organic,1,2015,Hartford/Springfield
1/4/2015,2015-01,0.71,1062990.62,115837.55,90299.85,25537.7,0,conventional,1,2015,Houston
1/4/2015,2015-01,1.22,8938.32,1256.67,1256.67,0,0,organic,1,2015,Houston
1/4/2015,2015-01,1.02,160130.15,36485.45,20325.41,16160.04,0,conventional,1,2015,Indianapolis
1/4/2015,2015-01,1.63,1780.6,829.39,542.89,286.5,0,organic,1,2015,Indianapolis
1/4/2015,2015-01,0.97,153506.84,28686.57,13653.15,15033.42,0,conventional,1,2015,Jacksonville
1/4/2015,2015-01,1.81,1381.31,523.33,523.33,0,0,organic,1,2015,Jacksonville
1/4/2015,2015-01,0.8,317861.35,58638.68,58126.59,512.09,0,conventional,1,2015,Las Vegas
1/4/2015,2015-01,1.5,6329.83,457.12,426.67,30.45,0,organic,1,2015,Las Vegas
1/4/2015,2015-01,0.85,2682159.95,255504.05,215571.8,36981.72,2950.53,conventional,1,2015,Los Angeles
1/4/2015,2015-01,1.25,54495.54,5050.63,5050.63,0,0,organic,1,2015,Los Angeles
1/4/2015,2015-01,0.92,101162.98,23797.31,7769.36,16027.95,0,conventional,1,2015,Louisville
1/4/2015,2015-01,1.48,1395.75,558.7,478.15,80.55,0,organic,1,2015,Louisville
1/4/2015,2015-01,0.97,540234.22,86680.79,38505.18,48175.61,0,conventional,1,2015,Miami/Ft. Lauderdale
1/4/2015,2015-01,1.82,2288.44,796.67,796.67,0,0,organic,1,2015,Miami/Ft. Lauderdale
1/4/2015,2015-01,1.1,2578275.12,510468.5,429166.89,80986.81,314.8,conventional,1,2015,Midsouth
1/4/2015,2015-01,1.56,58065.35,19114.43,17280.89,1833.54,0,organic,1,2015,Midsouth
1/4/2015,2015-01,1,162162.75,25514.31,19681.13,5611.51,221.67,conventional,1,2015,Nashville
1/4/2015,2015-01,1.84,3966,945.43,838.34,107.09,0,organic,1,2015,Nashville
1/4/2015,2015-01,0.94,222751.51,60062.94,54422.22,5640.72,0,conventional,1,2015,New Orleans/Mobile
1/4/2015,2015-01,1.41,2604.25,2360,2360,0,0,organic,1,2015,New Orleans/Mobile
1/4/2015,2015-01,1.09,1402890.2,249495.69,178683.01,70812.68,0,conventional,1,2015,New York
1/4/2015,2015-01,1.93,17328.24,2269.38,2269.38,0,0,organic,1,2015,New York
1/4/2015,2015-01,1.09,3759282.62,764351.66,669970.5,94381.16,0,conventional,1,2015,Northeast
1/4/2015,2015-01,1.88,48280.46,21391.49,21379.79,11.7,0,organic,1,2015,Northeast
1/4/2015,2015-01,1.05,321823.77,52490.37,52490.37,0,0,conventional,1,2015,Northern New England
1/4/2015,2015-01,1.83,7301.3,6664.25,6664.25,0,0,organic,1,2015,Northern New England
1/4/2015,2015-01,1,281803.19,52719.49,19933.7,32785.79,0,conventional,1,2015,Orlando
1/4/2015,2015-01,1.8,2057.29,803.33,803.33,0,0,organic,1,2015,Orlando
1/4/2015,2015-01,1.1,407675.56,86647.87,72829.94,13817.93,0,conventional,1,2015,Philadelphia
1/4/2015,2015-01,1.72,3788.6,1794.91,1794.91,0,0,organic,1,2015,Philadelphia
1/4/2015,2015-01,0.65,1048062.16,92499.06,92499.06,0,0,conventional,1,2015,Phoenix/Tucson
1/4/2015,2015-01,1.12,17296.85,858.6,830,28.6,0,organic,1,2015,Phoenix/Tucson
1/4/2015,2015-01,1.52,54956.8,14925.18,11264.8,3660.38,0,conventional,1,2015,Pittsburgh
1/4/2015,2015-01,1.81,1339.36,461.03,447.01,14.02,0,organic,1,2015,Pittsburgh
1/4/2015,2015-01,1.01,1683795.3,178834.99,177360.2,440.57,1034.22,conventional,1,2015,Plains
1/4/2015,2015-01,1.69,34190.37,15338.27,13793.22,1545.05,0,organic,1,2015,Plains
1/4/2015,2015-01,0.97,599965.86,76559.75,61308.73,15251.02,0,conventional,1,2015,Portland
1/4/2015,2015-01,1.28,32927.82,3658.63,613.33,3045.3,0,organic,1,2015,Portland
1/4/2015,2015-01,1.2,221086.46,55663.83,44040.64,11623.19,0,conventional,1,2015,Raleigh/Greensboro
1/4/2015,2015-01,2.01,3397,1072.67,993.94,78.73,0,organic,1,2015,Raleigh/Greensboro
1/4/2015,2015-01,1.13,182697.97,36245.72,31778.36,4467.36,0,conventional,1,2015,Richmond/Norfolk
1/4/2015,2015-01,1.54,4212.16,1922.3,1570.28,352.02,0,organic,1,2015,Richmond/Norfolk
1/4/2015,2015-01,1.13,109215,23332.97,21582.97,1750,0,conventional,1,2015,Roanoke
1/4/2015,2015-01,1.39,4414.29,1597.26,1139.42,457.84,0,organic,1,2015,Roanoke
1/4/2015,2015-01,1.05,430138.88,39600.08,39600.08,0,0,conventional,1,2015,Sacramento
1/4/2015,2015-01,1.33,9213.49,1158.45,1158.45,0,0,organic,1,2015,Sacramento
1/4/2015,2015-01,0.94,461607.33,36852.99,30884.29,5595,373.7,conventional,1,2015,San Diego
1/4/2015,2015-01,1.23,19089.36,828.81,828.81,0,0,organic,1,2015,San Diego
1/4/2015,2015-01,0.99,907795.89,82484.31,82033.71,444.44,6.16,conventional,1,2015,San Francisco
1/4/2015,2015-01,1.18,22630.58,426.67,426.67,0,0,organic,1,2015,San Francisco
1/4/2015,2015-01,0.97,634522.34,111554.96,96695.27,14859.69,0,conventional,1,2015,Seattle
1/4/2015,2015-01,1.49,33795.91,6252.15,452.73,5799.42,0,organic,1,2015,Seattle
1/4/2015,2015-01,1.01,309024.22,68870.22,52556,16314.22,0,conventional,1,2015,South Carolina
1/4/2015,2015-01,1.86,3351.76,1802,1768.67,33.33,0,organic,1,2015,South Carolina
1/4/2015,2015-01,0.77,5144267.01,570682.81,442217.85,128451.37,13.59,conventional,1,2015,South Central
1/4/2015,2015-01,1.35,53494.91,20768.73,20622.28,146.45,0,organic,1,2015,South Central
1/4/2015,2015-01,0.98,3204112.16,568730.84,287820.14,280910.7,0,conventional,1,2015,Southeast
1/4/2015,2015-01,1.75,27365.89,13598.46,13061.1,537.36,0,organic,1,2015,Southeast
1/4/2015,2015-01,1,84612.39,10002.54,9556.06,446.48,0,conventional,1,2015,Spokane
1/4/2015,2015-01,1.3,5782.7,838.26,223.33,614.93,0,organic,1,2015,Spokane
1/4/2015,2015-01,1.15,198735.26,38412.1,38400.99,11.11,0,conventional,1,2015,St. Louis
1/4/2015,2015-01,1.8,3597.07,523.33,523.33,0,0,organic,1,2015,St. Louis
1/4/2015,2015-01,1.33,41143.51,17715.21,17715.21,0,0,conventional,1,2015,Syracuse
1/4/2015,2015-01,1.72,593.39,490.68,490.68,0,0,organic,1,2015,Syracuse
1/4/2015,2015-01,0.97,339909.13,75991.75,33447.51,42544.24,0,conventional,1,2015,Tampa
1/4/2015,2015-01,1.7,1885.48,1106.67,1106.67,0,0,organic,1,2015,Tampa
1/4/2015,2015-01,0.95,31324277.73,4498940.02,3585321.58,894945.63,18672.81,conventional,1,2015,Total U.S.
1/4/2015,2015-01,1.46,612910.15,158641.83,115068.71,43573.12,0,organic,1,2015,Total U.S.
1/4/2015,2015-01,0.89,5794410.58,839638.97,688813.01,150819.57,6.39,conventional,1,2015,West
1/4/2015,2015-01,1.4,187548.3,44268.18,10023.72,34244.46,0,organic,1,2015,West
1/4/2015,2015-01,0.75,758118.95,168013.76,165202.22,2811.54,0,conventional,1,2015,West Tex/New Mexico
1/4/2015,2015-01,1.64,6182.81,1663.34,1663.34,0,0,organic,1,2015,West Tex/New Mexico
1/11/2015,2015-01,1.24,41195.08,8424.77,8036.04,388.73,0,conventional,1,2015,Albany
1/11/2015,2015-01,1.77,1182.56,838.44,838.44,0,0,organic,1,2015,Albany
1/11/2015,2015-01,1.11,397542.72,47038.08,21309.61,25728.47,0,conventional,1,2015,Atlanta
1/11/2015,2015-01,1.84,3743.82,922.41,865,57.41,0,organic,1,2015,Atlanta
1/11/2015,2015-01,1.17,670231.94,155406.52,151330.87,4075.65,0,conventional,1,2015,Baltimore/Washington
1/11/2015,2015-01,1.22,26008.88,6165.85,6165.85,0,0,organic,1,2015,Baltimore/Washington
1/11/2015,2015-01,1.18,57355.52,4923.75,3295.11,1628.64,0,conventional,1,2015,Boise
1/11/2015,2015-01,1.44,2378.68,455.28,170,285.28,0,organic,1,2015,Boise
1/11/2015,2015-01,1.1,437771.89,111524.61,111192.88,331.73,0,conventional,1,2015,Boston
1/11/2015,2015-01,1.94,2217.82,1248.93,1248.93,0,0,organic,1,2015,Boston
1/11/2015,2015-01,1.54,106221.32,53514.26,53514.26,0,0,conventional,1,2015,Buffalo/Rochester
1/11/2015,2015-01,1.59,2078.49,1934.98,1934.98,0,0,organic,1,2015,Buffalo/Rochester
1/11/2015,2015-01,0.92,6024932.34,546047.53,510560.41,31874.03,3613.09,conventional,1,2015,California
1/11/2015,2015-01,1.1,158110.68,8421.43,8421.43,0,0,organic,1,2015,California
1/11/2015,2015-01,1.26,159942.68,49435.79,38822.26,10613.53,0,conventional,1,2015,Charlotte
1/11/2015,2015-01,2.29,2390.22,431.78,431.78,0,0,organic,1,2015,Charlotte
1/11/2015,2015-01,1.15,802874.94,79298.64,74716.43,4539.25,42.96,conventional,1,2015,Chicago
1/11/2015,2015-01,1.79,12915.74,588.89,588.89,0,0,organic,1,2015,Chicago
1/11/2015,2015-01,0.92,201392.27,43475.66,17035.73,26345.43,94.5,conventional,1,2015,Cincinnati/Dayton
1/11/2015,2015-01,1.32,11313.77,752.08,310.62,441.46,0,organic,1,2015,Cincinnati/Dayton
1/11/2015,2015-01,0.97,125742.48,18981.23,16400.27,2458.67,122.29,conventional,1,2015,Columbus
1/11/2015,2015-01,1.68,4193.17,617.42,416.25,201.17,0,organic,1,2015,Columbus
1/11/2015,2015-01,0.76,1128693.04,87684.88,67857.83,19801.95,25.1,conventional,1,2015,Dallas/Ft. Worth
1/11/2015,2015-01,1.35,12126.63,3636.67,3636.67,0,0,organic,1,2015,Dallas/Ft. Worth
1/11/2015,2015-01,1.09,666579.35,122524.21,85793.27,36703.98,26.96,conventional,1,2015,Denver
1/11/2015,2015-01,1.28,30682.77,6731.23,1699.95,5031.28,0,organic,1,2015,Denver
1/11/2015,2015-01,1.08,332165.05,56696.63,48639.13,620.82,7436.68,conventional,1,2015,Detroit
1/11/2015,2015-01,1.87,6926.75,871.26,329.5,541.76,0,organic,1,2015,Detroit
1/11/2015,2015-01,1.03,185135.41,42379.3,39193.44,2896.97,288.89,conventional,1,2015,Grand Rapids
1/11/2015,2015-01,1.87,761.86,193.08,190,3.08,0,organic,1,2015,Grand Rapids
1/11/2015,2015-01,1.1,3067638.32,515263.25,412976.97,91214.54,11071.74,conventional,1,2015,Great Lakes
1/11/2015,2015-01,1.69,58061.65,9146.94,7266.75,1880.19,0,organic,1,2015,Great Lakes
1/11/2015,2015-01,1.26,178735.25,64838.42,63840.09,998.33,0,conventional,1,2015,Harrisburg/Scranton
1/11/2015,2015-01,1.65,3882.88,3504.58,3504.58,0,0,organic,1,2015,Harrisburg/Scranton
1/11/2015,2015-01,1.38,232640.15,85049.89,83319.8,1730.09,0,conventional,1,2015,Hartford/Springfield
1/11/2015,2015-01,2.28,3463.61,193.33,193.33,0,0,organic,1,2015,Hartford/Springfield
1/11/2015,2015-01,0.78,1062071.65,152918.86,126995.76,25923.1,0,conventional,1,2015,Houston
1/11/2015,2015-01,1.26,7561,600,600,0,0,organic,1,2015,Houston
1/11/2015,2015-01,1.25,138617.04,33310.48,18466.87,14765.56,78.05,conventional,1,2015,Indianapolis
1/11/2015,2015-01,1.83,1410.31,393.06,357.75,35.31,0,organic,1,2015,Indianapolis
1/11/2015,2015-01,1.2,99757.17,24566.54,14862.7,9703.84,0,conventional,1,2015,Jacksonville
1/11/2015,2015-01,1.91,1248.89,240,240,0,0,organic,1,2015,Jacksonville
1/11/2015,2015-01,0.93,274481.48,37144.36,36874.44,269.92,0,conventional,1,2015,Las Vegas
1/11/2015,2015-01,1.54,6144.55,33.33,33.33,0,0,organic,1,2015,Las Vegas
1/11/2015,2015-01,0.85,2713699.6,251246.65,222971.68,25111.74,3163.23,conventional,1,2015,Los Angeles
1/11/2015,2015-01,1.08,60232.63,6081.88,6081.88,0,0,organic,1,2015,Los Angeles
1/11/2015,2015-01,1.05,75129.36,19278,7964.88,11299.66,13.46,conventional,1,2015,Louisville
1/11/2015,2015-01,1.79,1435.48,216.46,173.93,42.53,0,organic,1,2015,Louisville
1/11/2015,2015-01,1.28,342796.99,63792.34,35069.71,28722.63,0,conventional,1,2015,Miami/Ft. Lauderdale
1/11/2015,2015-01,1.85,1614.56,473.33,473.33,0,0,organic,1,2015,Miami/Ft. Lauderdale
1/11/2015,2015-01,1.17,2335986.11,551745.27,465764.93,85966.27,14.07,conventional,1,2015,Midsouth
1/11/2015,2015-01,1.52,65483.08,17296.48,16715.45,581.03,0,organic,1,2015,Midsouth
1/11/2015,2015-01,1.07,149832.2,25244.96,22478.92,2766.04,0,conventional,1,2015,Nashville
1/11/2015,2015-01,1.92,2892.29,438.65,435.54,3.11,0,organic,1,2015,Nashville
1/11/2015,2015-01,0.97,239232.35,62815.17,59593.91,3221.26,0,conventional,1,2015,New Orleans/Mobile
1/11/2015,2015-01,1.44,1492.44,1243.33,1243.33,0,0,organic,1,2015,New Orleans/Mobile
1/11/2015,2015-01,1.34,1018225.83,285498.61,221731.33,63767.28,0,conventional,1,2015,New York
1/11/2015,2015-01,2.03,14817.97,2111.17,2111.17,0,0,organic,1,2015,New York
1/11/2015,2015-01,1.28,3056024.77,881104.32,796190.93,84913.39,0,conventional,1,2015,Northeast
1/11/2015,2015-01,1.86,50079.81,26358.42,26332.17,26.25,0,organic,1,2015,Northeast
1/11/2015,2015-01,1.06,314717.03,44863.79,44863.79,0,0,conventional,1,2015,Northern New England
1/11/2015,2015-01,1.88,6485.3,5894.15,5894.15,0,0,organic,1,2015,Northern New England
1/11/2015,2015-01,1.29,202034.59,43410.02,18762.45,24647.57,0,conventional,1,2015,Orlando
1/11/2015,2015-01,1.92,1610.6,266.67,266.67,0,0,organic,1,2015,Orlando
1/11/2015,2015-01,1.38,315984.22,101558.06,88980,12578.06,0,conventional,1,2015,Philadelphia
1/11/2015,2015-01,1.63,6715.18,4472.33,4465.66,6.67,0,organic,1,2015,Philadelphia
1/11/2015,2015-01,0.61,1110753.05,66305.28,66305.28,0,0,conventional,1,2015,Phoenix/Tucson
1/11/2015,2015-01,1.36,14035.18,879.26,876.68,2.58,0,organic,1,2015,Phoenix/Tucson
1/11/2015,2015-01,1.54,54644.32,18068.15,12165.94,5902.21,0,conventional,1,2015,Pittsburgh
1/11/2015,2015-01,1.82,1663.25,567.68,564.2,3.48,0,organic,1,2015,Pittsburgh
1/11/2015,2015-01,1.09,1402841.83,207260.73,205299.64,954.59,1006.5,conventional,1,2015,Plains
1/11/2015,2015-01,1.68,37617.95,15692.82,13774.1,1918.72,0,organic,1,2015,Plains
1/11/2015,2015-01,1.05,510152.67,72844.44,64831.61,8012.83,0,conventional,1,2015,Portland
1/11/2015,2015-01,1.22,43116.44,4477.36,480,3997.36,0,organic,1,2015,Portland
1/11/2015,2015-01,1.24,205760.67,66316.08,50818.2,15497.88,0,conventional,1,2015,Raleigh/Greensboro
1/11/2015,2015-01,1.98,3862.72,1200.59,1195.75,4.84,0,organic,1,2015,Raleigh/Greensboro
1/11/2015,2015-01,1.15,194460.59,44915.4,36160.54,8754.86,0,conventional,1,2015,Richmond/Norfolk
1/11/2015,2015-01,1.66,2914.35,439.21,412.81,26.4,0,organic,1,2015,Richmond/Norfolk
1/11/2015,2015-01,1.16,113235.82,29842.1,26555.99,3286.11,0,conventional,1,2015,Roanoke
1/11/2015,2015-01,1.47,5128.06,979.65,806.48,173.17,0,organic,1,2015,Roanoke
1/11/2015,2015-01,1.09,429492.28,43729.56,43722.89,6.67,0,conventional,1,2015,Sacramento
1/11/2015,2015-01,1.27,7598.26,321.28,321.28,0,0,organic,1,2015,Sacramento
1/11/2015,2015-01,0.82,544667.18,35484.4,31807.96,3271.85,404.59,conventional,1,2015,San Diego
1/11/2015,2015-01,1.05,20089.52,1025.96,1025.96,0,0,organic,1,2015,San Diego
1/11/2015,2015-01,1.03,916450.76,86365.43,85706.54,658.89,0,conventional,1,2015,San Francisco
1/11/2015,2015-01,1.12,29676.78,182.83,182.83,0,0,organic,1,2015,San Francisco
1/11/2015,2015-01,1.06,527350.82,86855.48,81221.3,5632.65,1.53,conventional,1,2015,Seattle
1/11/2015,2015-01,1.46,46687.01,4620.02,223.33,4396.69,0,organic,1,2015,Seattle
1/11/2015,2015-01,1.1,279706.73,63367.54,44864.96,18502.58,0,conventional,1,2015,South Carolina
1/11/2015,2015-01,2.06,2304.3,677.93,674.61,3.32,0,organic,1,2015,South Carolina
1/11/2015,2015-01,0.8,5409726.02,630813.48,533599.2,97164.07,50.21,conventional,1,2015,South Central
1/11/2015,2015-01,1.39,53328.53,16963.95,16873.34,90.61,0,organic,1,2015,South Central
1/11/2015,2015-01,1.18,2433295.61,475337.14,260164,215173.14,0,conventional,1,2015,Southeast
1/11/2015,2015-01,1.83,23690.65,8321.58,8164.48,157.1,0,organic,1,2015,Southeast
1/11/2015,2015-01,1.07,70697.07,8595.05,6899.1,1695.95,0,conventional,1,2015,Spokane
1/11/2015,2015-01,1.38,4780.87,427.05,140,287.05,0,organic,1,2015,Spokane
1/11/2015,2015-01,1.29,164917.61,44511.92,44509.7,2.22,0,conventional,1,2015,St. Louis
1/11/2015,2015-01,1.84,3762.18,263.33,263.33,0,0,organic,1,2015,St. Louis
1/11/2015,2015-01,1.45,42017.49,19441.98,19441.98,0,0,conventional,1,2015,Syracuse
1/11/2015,2015-01,1.66,762.15,565.4,565.4,0,0,organic,1,2015,Syracuse
1/11/2015,2015-01,1.24,235231.08,56919.19,19605.39,37313.8,0,conventional,1,2015,Tampa
1/11/2015,2015-01,1.84,1258.62,400,400,0,0,organic,1,2015,Tampa
1/11/2015,2015-01,1.01,29063542.75,4517384.18,3783261.16,718333.87,15789.15,conventional,1,2015,Total U.S.
1/11/2015,2015-01,1.42,669528.88,133760.12,106844.49,26915.63,0,organic,1,2015,Total U.S.
1/11/2015,2015-01,0.95,5333097.71,709812.44,598705.08,111073.82,33.54,conventional,1,2015,West
1/11/2015,2015-01,1.39,223156.55,31558.5,9296.76,22261.74,0,organic,1,2015,West
1/11/2015,2015-01,0.92,584896.99,80109.87,78503.46,1606.41,0,conventional,1,2015,West Tex/New Mexico
1/11/2015,2015-01,1.69,6861.73,2661.91,2656.66,5.25,0,organic,1,2015,West Tex/New Mexico
1/18/15,2015-01,1.17,44511.28,11921.05,11651.09,269.96,0,conventional,1,2015,Albany
1/18/15,2015-01,1.93,1118.47,931.67,931.67,0,0,organic,1,2015,Albany
1/18/15,2015-01,1.11,431490.99,40040.48,16782.71,23257.77,0,conventional,1,2015,Atlanta
1/18/15,2015-01,1.86,4294.01,1166.1,1019.34,146.76,0,organic,1,2015,Atlanta
1/18/15,2015-01,1.23,657741.34,173858.5,169390.88,4467.62,0,conventional,1,2015,Baltimore/Washington
1/18/15,2015-01,1.41,14057.45,523.57,461.75,61.82,0,organic,1,2015,Baltimore/Washington
1/18/15,2015-01,1.08,62870.49,3915.94,1119.18,2796.76,0,conventional,1,2015,Boise
1/18/15,2015-01,1.44,2973.94,451.75,143.33,308.42,0,organic,1,2015,Boise
1/18/15,2015-01,1.23,401331.33,109036.52,108668.74,367.78,0,conventional,1,2015,Boston
1/18/15,2015-01,2,2209.34,1370.78,1370.78,0,0,organic,1,2015,Boston
1/18/15,2015-01,1.52,107040.29,43421.89,43419.67,2.22,0,conventional,1,2015,Buffalo/Rochester
1/18/15,2015-01,1.64,1426.87,1197.53,1197.53,0,0,organic,1,2015,Buffalo/Rochester
1/18/15,2015-01,1.02,5570915.26,559990.93,520299.26,36501.18,3190.49,conventional,1,2015,California
1/18/15,2015-01,1.24,195207.6,13453.15,13453.15,0,0,organic,1,2015,California
1/18/15,2015-01,1.25,152671.15,47055.08,33996.73,13058.35,0,conventional,1,2015,Charlotte
1/18/15,2015-01,2.15,2697.81,840.32,840.32,0,0,organic,1,2015,Charlotte
1/18/15,2015-01,1.14,797741.43,98865.72,95516.44,3311.71,37.57,conventional,1,2015,Chicago
1/18/15,2015-01,1.81,12499.87,514.45,514.45,0,0,organic,1,2015,Chicago
1/18/15,2015-01,0.93,175681.09,42403.04,24024.17,18264.75,114.12,conventional,1,2015,Cincinnati/Dayton
1/18/15,2015-01,1.37,10051.4,395.09,351.87,43.22,0,organic,1,2015,Cincinnati/Dayton
1/18/15,2015-01,1.02,116450.21,27417.51,24386.64,2962.41,68.46,conventional,1,2015,Columbus
1/18/15,2015-01,1.84,4027.45,788.48,213.33,575.15,0,organic,1,2015,Columbus
1/18/15,2015-01,0.76,1091677.29,74805.23,62375.69,12416.71,12.83,conventional,1,2015,Dallas/Ft. Worth
1/18/15,2015-01,1.28,12634.71,4206.67,4206.67,0,0,organic,1,2015,Dallas/Ft. Worth
1/18/15,2015-01,0.99,808194.41,151308.9,77528.06,73764.68,16.16,conventional,1,2015,Denver
1/18/15,2015-01,1.1,42234.91,4178.82,992.64,3186.18,0,organic,1,2015,Denver
1/18/15,2015-01,1.1,291788.43,94985.22,92319.38,1066.01,1599.83,conventional,1,2015,Detroit
1/18/15,2015-01,1.9,7656.72,850.45,446.67,403.78,0,organic,1,2015,Detroit
1/18/15,2015-01,1.07,150201.39,64385.9,60381.95,3727.81,276.14,conventional,1,2015,Grand Rapids
1/18/15,2015-01,1.88,706.15,196.67,196.67,0,0,organic,1,2015,Grand Rapids
1/18/15,2015-01,1.08,3006207.02,697090.44,600155.95,93434.54,3499.95,conventional,1,2015,Great Lakes
1/18/15,2015-01,1.73,57646.9,10052.16,6511.7,3540.46,0,organic,1,2015,Great Lakes
1/18/15,2015-01,1.24,182604.68,65730.17,64180.88,1549.29,0,conventional,1,2015,Harrisburg/Scranton
1/18/15,2015-01,1.94,1355.5,1168.46,1168.46,0,0,organic,1,2015,Harrisburg/Scranton
1/18/15,2015-01,1.39,229216.05,64898.32,62671.58,2226.74,0,conventional,1,2015,Hartford/Springfield
1/18/15,2015-01,2.35,2552.09,266.67,266.67,0,0,organic,1,2015,Hartford/Springfield
1/18/15,2015-01,0.77,1017854.16,120280.76,107320.39,12960.37,0,conventional,1,2015,Houston
1/18/15,2015-01,1.2,9979.64,750,750,0,0,organic,1,2015,Houston
1/18/15,2015-01,1.14,149319.82,40469.37,22405.47,17913.92,149.98,conventional,1,2015,Indianapolis
1/18/15,2015-01,1.96,1083.8,112.58,105.03,7.55,0,organic,1,2015,Indianapolis
1/18/15,2015-01,1.27,99496.16,25060.56,14684.19,10376.37,0,conventional,1,2015,Jacksonville
1/18/15,2015-01,1.82,1403.1,500,500,0,0,organic,1,2015,Jacksonville
1/18/15,2015-01,1.06,233186.09,33175.55,32897.59,277.96,0,conventional,1,2015,Las Vegas
1/18/15,2015-01,1.63,6032.31,813.33,813.33,0,0,organic,1,2015,Las Vegas
1/18/15,2015-01,0.89,2800679.5,290195.16,260857.96,26671.18,2666.02,conventional,1,2015,Los Angeles
1/18/15,2015-01,1.29,43649.12,8541.34,8541.34,0,0,organic,1,2015,Los Angeles
1/18/15,2015-01,1.06,85580.15,19076.5,10228.66,8804.67,43.17,conventional,1,2015,Louisville
1/18/15,2015-01,1.79,1106.86,425.29,420,5.29,0,organic,1,2015,Louisville
1/18/15,2015-01,1.3,405138.19,77092.27,41312,35780.27,0,conventional,1,2015,Miami/Ft. Lauderdale
1/18/15,2015-01,1.87,1459.37,386.67,386.67,0,0,organic,1,2015,Miami/Ft. Lauderdale
1/18/15,2015-01,1.19,2330829.2,569042.98,478770.7,90214.44,57.84,conventional,1,2015,Midsouth
1/18/15,2015-01,1.65,52559.1,12492.18,10971.43,1520.75,0,organic,1,2015,Midsouth
